galaxy,matched_sparc_name,h_kpc_source,r_kpc,v_obs_kms,v_vis_kms,h_kpc,r_min_kpc,r_max_kpc,delta_r_kpc,Dw,sigma,sigma_scale,beta,rho_struct,M_struct,g_topo_kms2_per_kpc,v_struct_kms,v_topo_kms,residual_kms,abs_residual_kms,sq_error
NGC2841,NGC2841,structure_2014_z0,32.79,288.0,171.75045647683152,2.04,3.44,63.64,2.09,2.0132438779698067,0.001080220790460551,0.3427274079501306,0.9968531252160823,4.040396153781945,122.36237069778414,4.893656760739597e-07,0.004005783383867023,171.75045652354552,116.24954347645448,116.24954347645448,13513.95635848408
NGC2841,NGC2841,structure_2014_z0,34.88,285.0,167.52823314295412,2.04,3.44,63.64,2.0900000000000034,2.012305580348124,0.0009382976216829597,0.3427274079501306,0.997266006846692,4.038302788596068,130.80242352594993,4.623078776328677e-07,0.004015631802323817,167.52823319108123,117.47176680891877,117.47176680891877,13799.61599720899
NGC2841,NGC2841,structure_2014_z0,36.96,283.0,164.3316235543238,2.04,3.44,63.64,2.0799999999999983,2.011487272874008,0.0008183074741157093,0.3427274079501306,0.9976152145320636,4.0364320136465235,139.1982021143347,4.3816547687247534e-07,0.004024250989340338,164.33162360359793,118.66837639640207,118.66837639640207,14082.183556558155
NGC2841,NGC2841,structure_2014_z0,38.9,275.0,161.66047166824671,2.04,3.44,63.64,1.9399999999999977,2.010810525265068,0.0006767476089399871,0.3427274079501306,0.9980273538625511,4.035382852065215,147.0268448473412,4.177975514591943e-07,0.004031417213804924,161.66047171851355,113.33952828148645,113.33952828148645,12845.848671069867
NGC2841,NGC2841,structure_2014_z0,40.99,272.0,158.5730150435439,2.04,3.44,63.64,2.0900000000000034,2.0101600259582773,0.0006504993067908416,0.3427274079501306,0.9981037922392482,4.033081241099104,155.45598464123836,3.9785064348597206e-07,0.004038303836574211,158.5730150949647,113.42698490503531,113.42698490503531,12865.680904647108
NGC2841,NGC2841,structure_2014_z0,43.08,271.0,155.35688204904216,2.04,3.44,63.64,2.0899999999999963,2.0095786962373805,0.0005813297208967505,0.3427274079501306,0.9983052508665929,4.031562450393269,163.8819501625603,3.797066381320588e-07,0.004044473015205948,155.35688210168792,115.64311789831208,115.64311789831208,13373.330717242909
NGC2841,NGC2841,structure_2014_z0,45.16,274.0,151.7352121295515,2.04,3.44,63.64,2.0799999999999983,2.0090586848407392,0.0005200113966412623,0.3427274079501306,0.998483876444839,4.030197244158742,172.26476043041046,3.632093614254745e-07,0.004050004291599508,151.73521218360136,122.26478781639864,122.26478781639864,14948.678339788981
NGC2841,NGC2841,structure_2014_z0,47.1,277.0,147.8638005057357,2.04,3.44,63.64,1.9400000000000048,2.0086190351202733,0.0004396497204659511,0.3427274079501306,0.9987180253457294,4.029378236857108,180.08175420991327,3.4905700168256864e-07,0.004054699098484249,147.86380056132938,129.13619943867062,129.13619943867062,16676.158005464113
NGC2841,NGC2841,structure_2014_z0,49.19,281.0,143.90104690376648,2.04,3.44,63.64,2.0899999999999963,2.0081879009063663,0.0004311342139069474,0.3427274079501306,0.9987428400974907,4.027748747451696,188.4997490920873,3.349851745857503e-07,0.004059300523227254,143.90104696102082,137.09895303897918,137.09895303897918,18796.122924384217
NGC2841,NGC2841,structure_2014_z0,51.27,286.0,140.6067857537466,2.04,3.44,63.64,2.0800000000000054,2.007797049222368,0.0003908516839983278,0.3427274079501306,0.9988602344225952,4.026654312032312,196.87519006111455,3.2205705041727236e-07,0.004063479417308959,140.60678581246307,145.39321418753693,145.39321418753693,21139.18673178299
