galaxy,segment_index,r_left_kpc,r_right_kpc,r_mid_kpc,dr_kpc,h_i_kpc,v_obs_segment_kms,v_vis_segment_kms,v_err_segment_kms,mass_bar_segment_msun,n_points,density_ref_gal_msun_per_kpc3,segment_wedge_volume_eff_kpc3,segment_density_eff_msun_per_kpc3,alpha_geom_i,alpha_dens_i,Dw_i,sigma_i,beta_i,ell_info_kpc,c_info_gal,tau_struct_gal,S_i,I_int_i,eta_radius_term_i,eta_sigma_term_i,eta_dw_term_i,eta_obs_i,I_ext_i,DeltaD_i
NGC3769,3,17.07,37.16,27.115,20.089999999999996,2.86,118.5,63.51872460033542,11.575,25436232886.56262,4,123821242.45870626,1557.9574009999997,16326654.93307838,2.024617368729838,2.0263779749351323,2.0254976718324853,0.10299575176073184,0.009981631387472692,5.799999999999999,1.0,2.0,16784.872765914864,203304.2705593285,0.09695806008847135,0.4574956122560722,0.3163348854450098,0.5135664057733549,104410.24350952802,0.4864335942266451
NGC3917,1,0.87,3.5,2.185,2.63,4.65,62.125,54.43461988407375,4.35,1505363826.400241,4,168121561.79605794,26.721457500000003,56335393.62140859,2.4737327698144806,2.1269622323222896,2.3003475010683854,0.05615084210249233,0.028562926561802805,2.6250000000000004,1.0,2.0,90352.52839382977,100288.26490665217,0.7448490910941261,0.5145844196078981,0.13310166595440975,0.7174323265010614,71950.04321273422,0.2825676734989386
NGC3917,2,4.37,6.98,5.675000000000001,2.6100000000000003,4.65,118.75,99.36390463229996,3.7,13027551834.596252,4,168121561.79605794,68.87463750000002,189148753.55382085,2.250259903582997,2.2381334143487885,2.244196658965893,0.04400887126504127,0.0029898251432271534,2.6250000000000004,1.0,2.0,24887.97165703282,61457.1369474058,0.4652955076153102,0.4538080366475575,0.17053556068940465,0.6135745403375936,37708.53455296905,0.38642545966240643
NGC3917,3,7.85,10.47,9.16,2.620000000000001,4.65,135.75,110.84518004828477,3.725,26167892397.148483,4,168121561.79605794,111.59628000000006,234487138.79305357,2.1839589599045572,2.240700557172049,2.212329758538303,0.0497851037602115,0.0030941586018104605,2.6250000000000004,1.0,2.0,36121.10397228286,60696.26179972115,0.29085877903747803,0.48451204930488595,0.1917801609744648,0.5641527965798114,34241.96583625307,0.4358472034201885
NGC3917,4,11.35,14.86,13.105,3.51,4.65,137.2,101.61509729949712,4.9,31462493967.401325,5,168121561.79605794,213.8932575,147094370.03829503,2.131248544323364,2.1580043585675766,2.14462645144547,0.06770330709283279,0.005252854691545906,2.6250000000000004,1.0,2.0,52311.99958990428,63226.90576343006,0.17088443342104295,0.5610556801855737,0.23691569903635332,0.5441539060468817,34405.167738428565,0.4558460939531183
NGC4010,1,0.87,3.5,2.185,2.63,9.94,60.825,68.99372899137225,6.0249999999999995,2418300822.08063,4,91188656.95228384,57.120706999999996,42336675.24599494,2.7197475419761643,2.1675396764226043,2.443643609199384,0.13180592909822142,0.652091112322403,2.620000000000001,1.0,2.0,3638815.007097171,3992561.4106442686,0.6804356484701756,0.5743201541185028,0.03757092720041063,0.6977491493644719,2785806.3280624542,0.30225085063552815
NGC4010,2,4.37,6.98,5.675000000000001,2.6100000000000003,9.94,110.075,101.36973526596431,5.550000000000001,13558827508.198345,4,91188656.95228384,147.22879500000002,92093584.7379471,2.403140765997279,2.2205345942050463,2.3118376801011626,0.09769311973896277,0.1457219418304691,2.620000000000001,1.0,2.0,1311047.1375301213,2300692.416099334,0.36787944117144233,0.5,0.1254415465992249,0.5855749074649461,1347227.7486626708,0.4144250925350539
NGC4010,3,7.85,10.47,9.16,2.620000000000001,9.94,125.5,101.06352102974711,4.8,21753240870.336758,4,91188656.95228384,238.5520480000001,91188656.95228384,2.305463383326064,2.1910513561168528,2.2482573697214585,0.06358031037970413,0.01907373078172612,2.620000000000001,1.0,2.0,110585.73568630866,711240.7602381374,0.19907036649153892,0.39423921431398207,0.16782842018569433,0.5208910801818868,370478.9678698298,0.47910891981811315
NGC4013,1,5.49,9.88,7.6850000000000005,4.390000000000001,1.6299999999999994,194.85714285714286,221.90782079557766,5.0,87989071370.68933,7,610229883.7962602,54.99155449999999,1600046992.1374807,2.071539041962746,2.372236701843596,2.221887871903171,0.07033727651671962,0.01917823576793133,4.42,1.0,2.0,2158375.1855018195,2240226.3583519584,0.6560998565136927,0.693097275873249,0.1854080853978859,0.7251090939439863,1624408.5049340245,0.2748909060560137
NGC4013,2,10.56,14.98,12.77,4.42,1.6299999999999994,182.0,180.49914362500803,7.142857142857143,96734375898.66878,7,610229883.7962602,92.00274199999997,1051429270.4305358,2.049675532137536,2.2534256586353676,2.1515505953864515,0.06285792729744366,0.003913026848104849,4.42,1.0,2.0,258614.54514199714,941730.5649016674,0.49643554742616985,0.668678610158852,0.23229960307569897,0.6703469733562684,631286.2338989216,0.3296530266437316
NGC4013,3,15.68,20.79,18.235,5.109999999999999,1.63,166.25,144.67868483384245,5.125,88747170912.23474,8,610229883.7962602,151.88478549999996,584305864.6070561,2.036258161874177,2.1560858727423904,2.096172017308284,0.02880288702549416,8.147377990078464e-07,4.42,1.0,2.0,13.711789319449606,273511.2612168937,0.36787944117144233,0.4804632614307124,0.2692186551278108,0.5949112207411359,162714.91829698993,0.40508877925886405
