galaxy,r_kpc,v_obs_kms,v_vis_kms,v_err_kms,h_kpc,source_path,Dw_i,sigma_i,beta_i,S_i,I_int_i,eta_obs_i,I_ext_i,DeltaD_i,eta_sigma_term_i,eta_dw_term_i,eta_density_term_i,eta_flow_term_i,eta_transition_term_i,segment_density_eff_msun_per_kpc3,segment_wedge_volume_eff_kpc3,segment_index,v_bar_kms,delta_v_i,C_i
NGC2841,24.59,296.0,202.46587539632452,5.66,2.04,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2841_structure_enriched.csv,2.068752675676907,0.08840528138318983,0.025977799972441935,2101078.6515186443,36380011.63800742,0.6336782874707044,23518881.272134036,0.36632171252929563,0.5494686527908446,0.5172158003056386,0.4929096147322338,0.4902276862955417,0.5037720875338637,409390243.31062245,816.7797210937231,3,202.46587539632452,0.31599366420160635,0.11575534021873962
NGC2841,26.68,293.0,193.0401836406089,4.24,2.04,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2841_structure_enriched.csv,2.061150184902492,0.07701028965492437,0.02010614663826673,1626099.4654696197,31231274.89640754,0.6284670843778929,20080070.518330984,0.3715329156221071,0.5133662360384479,0.5216037298957343,0.4911024311700836,0.4877369380464785,0.5102582128421004,358857766.1463555,920.6496567188306,4,193.0401836406089,0.3411597827965567,0.12675208879540947
NGC2841,28.77,289.0,184.27017392947778,4.24,2.04,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2841_structure_enriched.csv,2.053547694128077,0.06561529792665892,0.014234493304091524,1151120.2794205952,26082538.154807672,0.6232558812850814,16641259.764527928,0.37674411871491864,0.4772638192860513,0.5259916594858302,0.48929524760793347,0.48524618979741535,0.516744338150337,308325288.9820885,1024.519592343938,4,184.27017392947778,0.3623869414204921,0.13652714887925815
NGC2841,30.7,289.0,177.4628935862368,4.24,2.04,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2841_structure_enriched.csv,2.046527212216775,0.05509265006275828,0.008812344531384284,712503.1363226925,21327963.077636495,0.61844362196971,13465707.250250466,0.38155637803029,0.44392522391182865,0.5300436710211817,0.48762641302661774,0.4829461208401465,0.5227339179804312,261661326.81604296,1120.4377625623388,4,177.4628935862368,0.38594154468430175,0.14725845792115752
NGC2841,32.79,288.0,171.75045647683152,4.24,2.04,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2841_structure_enriched.csv,2.03892472144236,0.04369765833449282,0.0029406911972090777,237523.95027366793,16179226.33603663,0.6132324188768985,10026896.49644741,0.3867675811231015,0.4078228071594321,0.5344316006112774,0.4858192294644676,0.48045537259108334,0.5292200432886679,211128849.65177602,1224.3076981874462,4,171.75045647683152,0.403644248344335,0.15611650956639092
NGC2841,34.88,285.0,167.52823314295412,4.24,2.04,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2841_structure_enriched.csv,2.034486101205494,0.03670657841987094,4.617341501146181e-06,32.61140303954002,13042359.88028271,0.6081349165270211,7957697.190862897,0.39186508347297894,0.3788135065156205,0.5369616260371131,0.48462366464579676,0.47784598021779734,0.5308135097497295,182542313.88517797,1315.6032561108682,4,167.52823314295412,0.41218163809489783,0.16151959201808633
NGC2841,36.96,283.0,164.3316235543238,2.83,2.04,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2841_structure_enriched.csv,2.033217450787036,0.03413178911363417,4.125329701846863e-06,29.136417469757724,11922746.467168579,0.6031749608607809,7261456.643819259,0.3968250391392191,0.35700218410735696,0.5376305314074851,0.48404251257096503,0.47513099652649665,0.527530102973119,175933492.69504768,1393.9477799679069,4,164.3316235543238,0.41932288496705367,0.16639782023902136
NGC2841,38.9,275.0,161.66047166824671,2.83,2.04,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2841_structure_enriched.csv,2.03203419030059,0.03173030293377872,3.6664340813465377e-06,25.895325159480006,10878491.649167899,0.5985488483643837,6612078.441288172,0.40145115163561623,0.33665893147657266,0.5382544143010052,0.48350047650117006,0.47259875212211044,0.5244676947295496,169769496.00809923,1467.019114719183,4,161.66047166824671,0.41214373938819376,0.16545557881679968
NGC2841,40.99,272.0,158.5730150435439,2.83,2.04,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2841_structure_enriched.csv,2.030759440601274,0.02914313483280042,3.172056840704433e-06,22.403632928304518,9753495.47925995,0.5935650467574405,5912490.583922207,0.4064349532425595,0.31474274694134624,0.5389265355625809,0.4829165304259786,0.4698707156246016,0.5211685023434361,163128901.6391702,1545.7402949409193,4,158.5730150435439,0.417010974104618,0.16948783576184462
NGC2841,43.08,271.0,155.35688204904216,2.83,2.04,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2841_structure_enriched.csv,2.0294846909019575,0.02655596673182213,2.6776796000623305e-06,18.91194069712904,8628499.309352003,0.5885812451504971,5212902.726556243,0.4114187548495028,0.2928265624061199,0.5395986568241566,0.4823325843507871,0.46714267912709273,0.5178693099573226,156488307.2702412,1624.4614751626552,4,155.35688204904216,0.42672737251275955,0.1755636442593995
