Structural coupling rotation pipeline run log
started_at: 2026-03-23T17:27:34.723304
project_root: C:\Users\mincu\Desktop\topological_gravity_project
data_dir: C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized
output_root: C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_structural_coupling
run_dir: C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_structural_coupling\2026-03-23_172734_local_structural_coupling_v4
beta_mode: local_structural_coupling_v4
beta_value: 200.0
n_input_files: 175
------------------------------------------------------------------------
[079/175] [OK] NGC4559 | beta_mean=69.3718 | eta_mean=0.500375 | ratio_max=0.535641 | sigma_flip=20.1906 | rmse=42.1283 | mafe=0.313624
[080/175] [OK] NGC5005 | beta_mean=74.389 | eta_mean=0.447166 | ratio_max=0.58954 | sigma_flip=893.03 | rmse=41.1544 | mafe=0.124517
[081/175] [OK] NGC5033 | beta_mean=73.9493 | eta_mean=0.48225 | ratio_max=0.341174 | sigma_flip=30.7544 | rmse=70.8449 | mafe=0.320251
[082/175] [OK] NGC5055 | beta_mean=65.6034 | eta_mean=0.479545 | ratio_max=0.455952 | sigma_flip=130.357 | rmse=44.4208 | mafe=0.229668
[083/175] [OK] NGC5371 | beta_mean=74.5005 | eta_mean=0.445016 | ratio_max=0.309303 | sigma_flip=59.1339 | rmse=19.2588 | mafe=0.0687381
[084/175] [OK] NGC5585 | beta_mean=82.0859 | eta_mean=0.459773 | ratio_max=0.621509 | sigma_flip=253.331 | rmse=36.5521 | mafe=0.360983
[085/175] [OK] NGC5907 | beta_mean=65.933 | eta_mean=0.492504 | ratio_max=0.189262 | sigma_flip=15.5339 | rmse=53.4696 | mafe=0.226844
[086/175] [OK] NGC5985 | beta_mean=67.434 | eta_mean=0.457254 | ratio_max=0.324364 | sigma_flip=58.1355 | rmse=102.882 | mafe=0.361377
[087/175] [OK] NGC6015 | beta_mean=63.1528 | eta_mean=0.458167 | ratio_max=0.482305 | sigma_flip=139.785 | rmse=59.7976 | mafe=0.344361
[088/175] [OK] NGC6195 | beta_mean=81.1072 | eta_mean=0.438683 | ratio_max=0.364723 | sigma_flip=94.3895 | rmse=20.5559 | mafe=0.0615733
