galaxy,segment_index,r_left_kpc,r_right_kpc,r_mid_kpc,h_i_kpc,Dw_i,v_vis_segment_kms,v_obs_segment_kms,v_err_segment_kms,n_points,r_max_gal_kpc,r_min_gal_kpc,r_scale,L_static,delta_sigma_i,beta_i,rho_struct_i,M_struct_i,g_topo_km2s2_per_kpc,v_struct_kms,v_topo_total_segment_kms,source_file
NGC3198,2,3.21,5.46,4.335,0.35,2.0205990946269816,116.00314163581649,118.625,5.38875,8,44.08,0.32,4.925440448033024,0.20302752830954443,0.05046975572649881,0.7799029608086534,3.184203953322496,7.473530136226984,1.710440381498199e-06,0.002723005518502431,116.0031416677758,NGC3198_segment_structure_v8.csv
NGC3198,3,5.78,11.04,8.41,0.35,2.009199993354531,136.86619416809776,145.66666666666666,1.9344444444444444,9,44.08,0.32,4.925440448033024,0.20302752830954443,0.011399101272450807,0.9454014806341198,3.8164766905589893,11.290006826785973,6.865348180057439e-07,0.002402864502927351,136.86619418919048,NGC3198_segment_structure_v8.csv
NGC3198,4,12.05,26.1,19.075000000000003,0.35,2.0034626632795995,108.54440155319925,153.125,2.0,8,44.08,0.32,4.925440448033024,0.20302752830954443,0.005737330074931268,0.972136669800972,3.9020230629556045,15.192029889741578,1.7957549309039383e-07,0.0018507843015055166,108.54440156897806,NGC3198_segment_structure_v8.csv
NGC3198,5,28.16,44.08,36.12,0.35,2.001637386519448,83.49923046825627,148.33333333333334,2.2222222222222223,9,44.08,0.32,4.925440448033024,0.20302752830954443,0.0018252767601514286,0.9910499998561274,3.970693584103317,19.162723473844895,6.317163305155315e-08,0.0015105493655693943,83.49923048191962,NGC3198_segment_structure_v8.csv
NGC3769,1,1.74,6.98,4.36,0.35,2.02045422031826,126.80353346510815,108.625,6.875,4,37.16,1.74,3.0613478007192,0.3266535085510607,0.0,1.0,4.0822352564018685,4.0822352564018685,9.236031498091152e-07,0.00200671615660206,126.80353348098669,NGC3769_segment_structure_v8.csv
NGC3769,2,8.72,14.52,11.620000000000001,0.35,2.0062405501208933,93.98851101146455,120.5,4.95,4,37.16,1.74,3.0613478007192,0.3266535085510607,0.014213670197366746,0.9574201190388024,3.853617075328756,7.935852331730624,2.527793987758031e-07,0.0017138543152131782,93.98851102709038,NGC3769_segment_structure_v8.csv
NGC3769,3,17.07,37.16,27.115,0.35,2.002289155264645,63.51872460033542,118.5,11.575,4,37.16,1.74,3.0613478007192,0.3266535085510607,0.0039513948562484025,0.9879762757187875,3.9609568044714965,11.89680913620212,6.959397315282452e-08,0.001373695956912896,63.518724615189626,NGC3769_segment_structure_v8.csv
NGC3917,1,0.87,3.5,2.185,0.35,2.048173842196159,54.43461988407375,62.125,4.35,4,14.86,0.87,2.837935106623121,0.3523688747026732,0.0,1.0,4.195016087856576,4.195016087856576,3.779123657226717e-06,0.0028735666324343997,54.43461995992056,NGC3917_segment_structure_v8.csv
NGC3917,2,4.37,6.98,5.675000000000001,0.35,2.014818524058862,99.36390463229996,118.75,3.7,4,14.86,0.87,2.837935106623121,0.3523688747026732,0.03335531813729675,0.9096819661219383,3.692848196730993,7.887864284587569,1.0533872384164417e-06,0.0024449892797338206,99.36390466238117,NGC3917_segment_structure_v8.csv
NGC3917,3,7.85,10.47,9.16,0.35,2.008300668148807,110.84518004828477,135.75,3.725,4,14.86,0.87,2.837935106623121,0.3523688747026732,0.006517855910054937,0.9816727721197691,3.959352886453127,11.847217171040697,6.072754953555023e-07,0.002358525712697744,110.84518007337672,NGC3917_segment_structure_v8.csv
