r_kpc,v_obs_kmps,v_err_kmps,v_model_kmps,v_baryon_kmps,a_newton,sigma_profile,sigma_smoothed,sigma_transferred,beta_local,d_eff_local,cinfo_cap,eta_profile,projection_profile,a_struct_internal,a_struct_observed,a_total,struct_to_bar_ratio,sigma_flip_severity
6.27,308.0,3.2,241.89957149966727,336.1361481602358,18020.33653907496,-3005.2228709979217,-3015.61616451378,-2561.726227849007,94.79824226660085,2.3794894844676775,0.591795793787071,0.4958514863905972,0.7887974837427403,-38730.68529551656,-8687.73642875237,9332.60011032259,0.48210733522728866,87.54609760384983
6.36,309.0,6.66,242.31000413351794,336.04822287880063,17756.039009433967,-2865.064665834174,-2872.029177017523,-2471.9964089436553,92.88048194781395,2.377661734197675,0.59106469367907,0.49531977722114184,0.789708957257087,-36084.81496389863,-8524.256288807319,9231.782720626648,0.48007645648211816,89.72981890535175
6.45,310.0,5.83,242.86150868251698,336.0131405168554,17504.624899224807,-2734.803920010639,-2714.585585195514,-2371.6178306575684,90.89704814241362,2.37392723495329,0.589570893981316,0.4942333774409571,0.790768651808034,-33482.74063025965,-8360.173364411121,9144.451534813687,0.47759797268099996,100.37857828608685
6.53,310.0,3.83,243.62229430414865,336.0223636902758,17291.12234303216,-2580.5768569175575,-2551.4122707539404,-2272.767961863942,88.85320773636681,2.3693283063466093,0.5877313225386438,0.49289550730083187,0.7920121655120822,-31001.53811246465,-8202.022452983581,9089.099890048577,0.4743487606106013,98.84986879362623
6.61,311.0,2.41,244.44224185046352,336.1195509041388,17091.732602117998,-2387.259612217275,-2431.7058527891545,-2183.747945540674,86.7422167884931,2.3666506113813806,0.5866602445525523,0.4921165414927653,0.7933395011704194,-28743.825601756547,-8052.094235872839,9039.638366245159,0.47111047331006267,89.02001632326801
6.7,312.0,1.25,245.21652629065824,336.3501612902839,16885.288208955222,-2189.3562987900555,-2331.8012451928917,-2104.392800482022,84.84565409498903,2.364670028119648,0.5858680112478594,0.491540371816625,0.7943753772465647,-26795.716224996428,-7910.490482678046,8974.797726277176,0.4684841848587853,79.3551450586524
6.79,312.0,3.61,246.0789118412657,336.71506218166127,16697.64846833579,-2266.532576010244,-2222.226564240592,-2038.8988610733725,83.52564102040226,2.3617847230843605,0.5847138892337442,0.490701010351814,0.7947159266799522,-25276.412716722083,-7779.411229310542,8918.237239025246,0.46589861105669184,65.49393940864934
6.87,313.0,13.8,246.28008689940756,336.68211505810643,16499.97767103348,-2235.2808820293253,-2166.0235506413255,-2001.0915394832869,82.7354089479123,2.361707253811251,0.5846829015245005,0.4906784738360004,0.7943832115362613,-24289.540890545006,-7671.174002448367,8828.803668585115,0.4649202656749947,37.80732159008562
6.96,313.0,4.58,246.4940618358085,337.0027433122763,16317.650718390803,-2032.7034521560595,-2180.0646889474247,-1998.257520121149,82.50760937741138,2.3659012611564836,0.5863605044625935,0.491898548700068,0.7933571477191597,-23869.051295732595,-7587.862999954685,8729.787718436119,0.465009524404318,2.8340193621379512
7.05,314.0,3.05,246.63371827545302,337.26153338321876,16134.09104964539,-2106.244544220944,-2210.9616094635567,-2022.3724815779258,83.03517484138831,2.3717381521227097,0.5886952608490839,0.49359655334478825,0.7911900392674556,-23838.539428229436,-7505.978852429003,8628.112197216387,0.4652247733902541,24.114961456776882
7.2,315.0,1.38,246.13659455105054,337.4129437351211,15812.152027777776,-2259.5619903205484,-2261.817226289309,-2062.1163158682903,83.82397592090986,2.3786266608020035,0.5914506643208014,0.495600483142401,0.7884037745530584,-23908.539540544094,-7397.815475390522,8414.336552387254,0.4678563336852892,39.743834290364475
7.39,316.0,0.75,244.44146061534647,336.9770873516477,15365.839972936405,-2421.017178590905,-2339.729563273717,-2095.017895440087,84.29969850251699,2.3903397734557266,0.5961359093822907,0.49900793409621136,0.7857603836786214,-23845.933066583602,-7280.36938189933,8085.470591037075,0.47380223890930284,32.9015795717969
7.47,316.0,8.57,246.7801441856045,336.50234189378233,15158.477389558233,-2489.558966158087,-2343.708650515319,-2099.5210433375964,84.08073188468703,2.3980740005528713,0.5992296002211486,0.5012578910699262,0.7837173228228689,-22945.34910742858,-7005.8081038463515,8152.6692857118815,0.46217096373229627,4.50314789750928
7.99,318.0,1.36,238.83623434494507,332.92358838027684,13872.10459324155,-2422.265137078098,-2279.9565749481603,-2051.4257866417665,82.98316396373681,2.401334972392947,0.6005339889571788,0.5022065374234027,0.7824239958421249,-21526.043518787486,-6732.8371544338515,7139.267438807699,0.4853508066623193,48.0952566958299
8.08,318.0,16.0,241.98699985777876,332.4780246873468,13680.895655940592,-2126.1399804289535,-2147.287863901225,-1963.352625574381,80.82874271748268,2.399597691683165,0.599839076673266,0.5017011466714661,0.7825491256961135,-19545.0851318252,-6433.654554434575,7247.241101506017,0.47026559636400117,88.07316106738563
8.16,318.0,5.5,243.1901592046388,332.0346248510839,13510.660796568629,-1940.8016124847572,-1997.4208813478203,-1850.6918079199534,77.99316997609873,2.3968854921031224,0.598754196841249,0.500912143157272,0.7832099867457932,-17669.92988808497,-6262.933647796868,7247.727148771761,0.46355494687480403,112.66081765442755
8.25,319.0,2.94,245.13898116471825,331.88162784342256,13350.959381818184,-1757.6736233562292,-1847.8270828032018,-1737.5737573209692,74.4504989021844,2.39050016614033,0.596200066456132,0.4990545937862778,0.78386578090504,-15666.680420606934,-6066.944825881688,7284.0145559364955,0.4544201395851651,113.11805059898415
8.34,319.0,1.74,247.93355106082686,331.72321504531453,13194.279544364508,-1740.2240533910622,-1725.5205053682052,-1617.3991503012653,70.28602386080318,2.3914954665116874,0.596598186604675,0.4993441357124909,0.7843105485058819,-13628.34682234494,-5823.650558557358,7370.6289858071505,0.4413769269459456,120.1746070197039
8.4,319.0,2.2,255.44930913591034,331.5951997541581,13089.925773809524,-1674.296144355007,-1563.6484291708189,-1484.6079587164327,65.4857374734256,2.3938901408505617,0.5975560563402247,0.5000407682474362,0.7841791551970065,-11180.797974298115,-5321.550828807871,7768.374945001653,0.4065378918691267,132.79119158483263
