galaxy,source_file,beta_mode,beta,a_newton_source,rmse_kmps,mean_absolute_fractional_error,chi2,n_points,status
NGC2998,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC2998_normalized.csv,structural,3718.225576,computed_from_baryonic_velocity,1383.96098621238,6.6009857890273445,124553.78056093185,13,ok
NGC3109,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC3109_normalized.csv,structural,113.16475728155339,computed_from_baryonic_velocity,62.31498394824155,2.2552949437433925,43462.67861930789,25,ok
NGC3198,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC3198_normalized.csv,structural,2740.306332179931,computed_from_baryonic_velocity,311.4765429373752,1.7472895318051864,273120.1391810129,43,ok
NGC3521,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC3521_normalized.csv,structural,20126.36903797468,computed_from_baryonic_velocity,208.03956970507562,0.9999999903362771,17648.202636817026,41,ok
NGC3726,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC3726_normalized.csv,structural,2181.7475889344114,computed_from_baryonic_velocity,153.0479189116874,0.9999999755211451,9154.675668668868,12,ok
NGC3741,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC3741_normalized.csv,structural,62.766108949416356,computed_from_baryonic_velocity,37.897428748162746,0.9999999558562345,5584.075073988709,21,ok
NGC3769,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC3769_normalized.csv,structural,779.5212131601876,computed_from_baryonic_velocity,116.31324079009117,0.9999999691256356,4301.597514664671,12,ok
NGC3877,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC3877_normalized.csv,structural,5055.686628571429,computed_from_baryonic_velocity,476.85322324329394,1.957482982028355,104335.32505643988,13,ok
NGC3893,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC3893_normalized.csv,structural,3104.9381882295975,computed_from_baryonic_velocity,179.12341808108613,0.9999999829915858,6036.541566622533,10,ok
NGC3917,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC3917_normalized.csv,structural,1401.0041762452108,computed_from_baryonic_velocity,197.53264682008646,1.5937155683096897,38725.17370659438,17,ok
NGC3949,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC3949_normalized.csv,structural,8354.517986270024,computed_from_baryonic_velocity,153.81528603691984,0.9999999867969389,2957.7600368752765,7,ok
NGC3953,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC3953_normalized.csv,structural,6368.252248779825,computed_from_baryonic_velocity,214.0855522778417,0.9999999859658398,9158.156859473762,8,ok
NGC3972,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC3972_normalized.csv,structural,1960.3350696361863,computed_from_baryonic_velocity,129.85668506976774,1.1168802764395802,7833.502683566892,10,ok
NGC3992,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC3992_normalized.csv,structural,1655.6918095930232,computed_from_baryonic_velocity,254.0059003737734,0.9999999796486563,15333.243832722,9,ok
