_Glon,_Glat,_RAJ2000,_DEJ2000,_RAB1950,_DEB1950,_Elon2000,_Elat2000,recno,Name,Band,RAJ2000,DEJ2000,PA,h,e_h,z0,e_z0,S0,e_S0,gradz0,mag,B/T,Type,RV,AName,NED,preferred_name,catalog_name_normalized,z0_over_h,h_over_z0,thickness_flag
107.86651173,-54.73608571,004.16135694,+07.11475389,003.51836675,+06.83703888,006.64695947,+04.87567524,183,EON_4.161_7.115,r,4.161357,7.114754,86.46,3.81,0.11,1.77,0.14,19.96,0.16,0.115,15.08,0.35,SA,,PGC212496,NED,PGC212496,PGC212496,0.4645669291338583,2.152542372881356,thick_like
105.32753072,-60.43536966,004.27527500,+01.25744111,003.63419093,+00.97975439,004.42263714,-00.54504108,186,EON_4.275_1.257,r,4.275275,1.257441,19.02,3.67,0.02,1.75,0.15,21.23,0.1,0.098,16.53,0.12,SC,,PGC1189342,NED,PGC1189342,PGC1189342,0.4768392370572207,2.097142857142857,thick_like
096.78174764,-70.70032481,004.36459389,-09.57382000,003.72724585,-09.85149338,000.15692943,-10.51216758,189,EON_4.365_-9.574,r,4.364594,-9.57382,28.27,6.55,0.64,1.64,0.09,20.76,0.23,0.184,15.02,0.13,SB,6792.0,PGC001141,NED,PGC1141,PGC1141,0.250381679389313,3.9939024390243905,thick_like
114.02642226,-35.68599579,004.77386306,+26.62585611,004.12239664,+26.34838596,015.46848999,+22.43204666,192,EON_4.774_26.626,r,4.773863,26.625856,177.48,10.04,0.3,2.1,0.21,22.77,0.11,-0.013,16.1,0.04,SD,11650.0,PGC090470,NED,PGC90470,PGC90470,0.20916334661354585,4.78095238095238,thick_like
111.86019979,-46.33083275,004.93619111,+15.85847194,004.28918246,+15.58104793,010.90491426,+12.57917530,195,EON_4.936_15.858,r,4.936191,15.858472,21.01,6.21,0.08,1.16,0.09,22.35,0.24,-0.109,16.74,0.1,SB,12194.0,2MASXJ00194467+1551308,NED,2MASXJ00194467+1551308,,0.18679549114331723,5.353448275862069,intermediate
109.41699386,-55.70586493,005.24585389,+06.36470194,004.60253972,+06.08738818,007.33896045,+03.75927091,198,EON_5.246_6.365,r,5.245854,6.364702,28.67,4.2,0.28,2.21,0.3,21.89,0.21,0.002,16.46,0.19,SC,,PGC1299296,NED,PGC1299296,PGC1299296,0.5261904761904762,1.900452488687783,thick_like
104.26696131,-66.01037584,005.36260889,-04.23128306,004.72377114,-04.50856401,003.23747809,-06.01383936,201,EON_5.363_-4.231,r,5.362609,-4.231283,37.1,12.91,0.54,3.44,0.53,22.51,0.31,0.208,15.0,0.19,SB,19265.0,PGC001368,NED,PGC1368,PGC1368,0.2664601084430674,3.7529069767441863,thick_like
111.22591205,-51.82536998,005.53523806,+10.37925389,004.88996230,+10.10207052,009.20818287,+07.32835061,204,EON_5.535_10.379,r,5.535238,10.379254,147.04,9.22,0.46,1.56,0.13,22.41,0.16,-0.08,16.23,0.04,SD,5446.0,PGC090472,NED,PGC90472,PGC90472,0.16919739696312364,5.910256410256411,intermediate
088.43388165,-77.56549472,005.54447500,-16.69950694,004.91144285,-16.97672733,358.23391550,-17.48476837,207,EON_5.544_-16.700,r,5.544475,-16.699507,90.58,4.84,0.12,1.34,0.1,21.83,0.1,0.034,16.72,0.08,SC,,PGC894817,NED,PGC894817,PGC894817,0.2768595041322314,3.6119402985074625,thick_like
110.66006383,-53.75209954,005.56049500,+08.42254806,004.91608789,+08.14537283,008.44660000,+05.52373856,210,EON_5.560_8.423,r,5.560495,8.422548,46.4,5.34,0.36,0.85,0.09,22.53,0.32,-0.129,17.2,0.05,SD,,2MASXJ00221442+0825197,NED,2MASXJ00221442+0825197,,0.15917602996254682,6.2823529411764705,intermediate
113.76446599,-41.74335316,005.56312806,+20.60829500,004.91293504,+20.33113947,013.47687989,+16.66879741,213,EON_5.563_20.608,r,5.563128,20.608295,160.62,8.19,0.08,2.66,0.34,22.15,0.13,0.125,15.79,0.06,SC,5638.0,UGC00211,NED,UGC00211,UGC00211,0.3247863247863248,3.078947368421052,thick_like
107.29258418,-61.97560371,005.58274000,+00.00910194,004.94209059,-00.26807642,005.12823480,-02.20937083,216,EON_5.583_0.009,r,5.58274,0.009102,172.09,8.13,0.68,1.19,0.17,22.47,0.2,-0.197,16.44,0.1,SB,12840.0,PGC1154760,NED,PGC1154760,PGC1154760,0.14637146371463713,6.831932773109244,intermediate
099.01301147,-72.21164317,005.61780889,-10.69850806,004.98202327,-10.97568701,000.84419772,-12.03942796,219,EON_5.618_-10.699,r,5.617809,-10.698508,105.84,6.28,0.49,1.22,0.11,21.81,0.21,0.083,16.6,0.06,SD,,PGC090473,NED,PGC90473,PGC90473,0.19426751592356686,5.147540983606557,intermediate
112.67396252,-47.34982436,005.68567111,+14.94958194,005.03808653,+14.67247288,011.20407494,+11.45554709,222,EON_5.686_14.950,r,5.685671,14.949582,118.41,5.22,0.1,3.5,0.24,20.95,0.08,-0.002,15.11,0.17,SC,7550.0,PGC1471258,NED,PGC1471258,PGC1471258,0.6704980842911877,1.4914285714285713,thick_like
101.46664598,-70.63179203,005.80270000,-08.94559889,005.16624656,-09.22269080,001.73558852,-10.50915923,225,EON_5.803_-8.946,r,5.8027,-8.945599,31.32,3.76,0.14,1.48,0.09,20.91,0.1,-0.009,16.44,0.09,SC,13568.0,PGC997209,NED,PGC997209,PGC997209,0.39361702127659576,2.5405405405405403,thick_like
113.48029801,-45.88140386,006.01243389,+16.48711806,005.36363484,+16.21016405,012.13461610,+12.73425617,228,EON_6.012_16.487,r,6.012434,16.487118,55.52,29.05,0.13,6.87,0.39,22.03,0.07,0.063,12.76,0.06,IR,,,NED,NED,,0.23648881239242686,4.228529839883552,thick_like
113.22539057,-48.83856622,006.30531806,+13.53845889,005.65770196,+13.26164503,011.18539059,+09.92204592,231,EON_6.305_13.538,r,6.305318,13.538459,83.66,12.61,0.23,1.33,0.16,23.26,0.22,-0.219,16.63,0.05,SB,,PGC090476,NED,PGC90476,PGC90476,0.10547184773988899,9.481203007518795,intermediate
107.96350523,-64.40882287,006.44876389,-02.28487611,005.80931582,-02.56164044,005.01375558,-04.65863198,234,EON_6.449_-2.285,r,6.448764,-2.284876,14.13,29.15,0.65,4.73,0.21,22.25,0.07,0.003,13.61,0.09,SD,5331.0,PGC001609,NED,PGC1609,PGC1609,0.16226415094339625,6.162790697674418,intermediate
