galaxy,r_kpc,v_obs_kms,v_vis_kms,v_err_kms,h_kpc,source_path,Dw_i,Dw_smooth_i,dDw_dr_i,propagation_source_i,propagation_term_i,delta_struct_i,DeltaD_i,segment_density_eff_msun_per_kpc3,segment_wedge_volume_eff_kpc3,segment_index,v_bar_kms,delta_v_i,C_i
NGC2403,3.9,118.0,104.635132245341,5.1,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.206168940850469,2.210534709884871,-0.040244779761547535,0.5235848901969664,0.11137404524755544,0.5933972421483689,0.5933972421483689,2141759186.2659626,6.078828496932517,3,104.635132245341,0.11326159114117798,0.06720911582451114
NGC2403,3.99,118.0,104.30009108337345,4.85,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.198930844795991,2.2065567711572736,-0.03983641088964049,0.521145073969694,0.11356819302940126,0.59873422741399,0.59873422741399,2060654750.0825467,6.3339474110429475,3,104.30009108337345,0.11610092302225894,0.06951359644778332
NGC2403,4.47,118.0,102.76078288919368,5.36,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.160327665838775,2.1853410979434207,-0.037658443572802916,0.5081327207575747,0.1252703145325789,0.6271981488306357,0.6271981488306357,1628097757.10433,7.694581619631904,3,102.76078288919368,0.12914590771869763,0.08100007425021927
NGC2403,4.97,121.0,100.96553718967677,2.57,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.1329168017495337,2.1683252876188313,-0.03542573513720193,0.49110324621564005,0.13222488342451746,0.6443368003381267,0.6443368003381267,1324441633.517174,9.517064494464949,3,100.96553718967677,0.1655740728125887,0.10668546829501542
NGC2403,5.47,124.0,98.87521479116998,0.22,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.124707108647082,2.1589352512040034,-0.03324703798075817,0.4688613617547403,0.1313267408056488,0.6427085518933451,0.6427085518933451,1241171626.077748,11.94728073062731,3,98.87521479116998,0.2026192355550808,0.13022511546934257
NGC2403,5.96,125.0,96.16219059484865,0.88,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.116661609406679,2.149733015517472,-0.031111914767443287,0.4470643149830585,0.1304465610391575,0.6411128684174591,0.6411128684174591,1159567018.7871106,14.328892642066426,3,96.16219059484865,0.23070247524121076,0.14790632565290046
NGC2403,6.46,126.0,93.44142550282504,0.45,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.1084519163042272,2.1403429791026443,-0.028933217610999526,0.42482243052215873,0.12954841842028883,0.6394846199726775,0.6394846199726775,1076297011.3476849,16.759108878228787,3,93.44142550282504,0.25840138489821396,0.1652437114220479
NGC2403,6.96,126.0,91.23993971940139,0.55,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.1002422232017754,2.130952942687816,-0.026754520454555765,0.4025805460612589,0.12865027580142016,0.6378563715278958,0.6378563715278958,993027003.9082588,19.189325114391153,3,91.23993971940139,0.27587349429046515,0.17596766606883776
NGC2403,7.45,126.0,89.13484447734231,0.45,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.0921967239613726,2.1217507070012847,-0.024619397241240883,0.38078349928957717,0.12777009603492887,0.6362606880520099,0.6362606880520099,911422396.6176213,21.57093702583027,3,89.13484447734231,0.29258059938617215,0.18615753347611536
NGC2403,7.95,126.0,87.15783671018917,0.24,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.083987030858921,2.112360670586457,-0.02244070008479712,0.3585416148286774,0.1268719534160602,0.6346324396072281,0.6346324396072281,828152389.1781954,24.001153261992627,4,87.15783671018917,0.30827113722072086,0.19563886387488066
