galaxy,n_points,chi2,reduced_chi2,rmse_kmps,mae_kmps,mean_abs_residual_kmps,max_abs_residual_kmps,status,source_file,rs_kpc
UGC07261,7,108.29666670918448,18.049444451530746,22.262552465739894,21.296574631152275,21.296574631152275,30.068132777389962,success,data\raw\sparc_csv\UGC07261.csv,5.0
UGC07323,10,71.4623770690394,7.9402641187821565,10.345457337040719,8.01582377453281,8.01582377453281,18.294760233693538,success,data\raw\sparc_csv\UGC07323.csv,5.0
UGC07399,10,2380.2207641839677,264.46897379821866,50.95226232229807,48.77001723971822,48.77001723971822,65.78924273282087,success,data\raw\sparc_csv\UGC07399.csv,5.0
UGC07524,31,1932.5548621308883,64.41849540436294,26.756759638805764,25.274469143601504,25.274469143601504,33.10589898326973,success,data\raw\sparc_csv\UGC07524.csv,5.0
UGC07559,7,30.904829910510507,5.1508049850850846,6.78682547264883,5.5349484081342775,5.5349484081342775,9.865645759759964,success,data\raw\sparc_csv\UGC07559.csv,5.0
UGC07577,9,2.790640883230484,0.3488301104038105,1.7651840058788588,1.5194295582361426,1.5194295582361426,2.830988676602587,success,data\raw\sparc_csv\UGC07577.csv,5.0
UGC07603,12,952.345429336697,86.576857212427,25.74568614409514,22.860350082627765,22.860350082627765,36.972427042000234,success,data\raw\sparc_csv\UGC07603.csv,5.0
UGC07608,8,167.7777134019014,23.9682447717002,30.63714273310021,28.34181968239943,28.34181968239943,40.21113615144104,success,data\raw\sparc_csv\UGC07608.csv,5.0
UGC07690,7,63.32916678601528,10.554861131002546,12.963734774547575,11.89162023022793,11.89162023022793,17.47583687412174,success,data\raw\sparc_csv\UGC07690.csv,5.0
UGC07866,7,23.645784502026977,3.940964083671163,7.480355756414136,7.004741277476716,7.004741277476716,11.352400132428407,success,data\raw\sparc_csv\UGC07866.csv,5.0
UGC08286,17,5407.4570890243085,337.9660680640193,36.6726781610861,35.27090052448739,35.27090052448739,46.29153252234444,success,data\raw\sparc_csv\UGC08286.csv,5.0
UGC08490,30,3092.377156194236,106.63369504118054,37.463812137606574,35.918674000942374,35.918674000942374,45.80020477507773,success,data\raw\sparc_csv\UGC08490.csv,5.0
UGC08550,11,1593.3572007301761,159.33572007301763,24.986152132889465,23.767154243438746,23.767154243438746,32.49834247403103,success,data\raw\sparc_csv\UGC08550.csv,5.0
UGC08699,41,1767.7235647156506,44.19308911789126,37.4520271860585,30.86685050176041,30.86685050176041,80.17909316704771,success,data\raw\sparc_csv\UGC08699.csv,5.0
UGC08837,8,56.223384684207126,8.031912097743875,7.952404742389242,6.225949021944033,6.225949021944033,13.46221489440876,success,data\raw\sparc_csv\UGC08837.csv,5.0
UGC09037,22,813.1865602807867,38.72316953718032,31.128091400079775,26.402763359784476,26.402763359784476,74.76361925708595,success,data\raw\sparc_csv\UGC09037.csv,5.0
UGC09133,68,54731.71202334254,816.8912242289931,60.553640354822896,54.03683149339916,54.03683149339916,106.25710705103127,success,data\raw\sparc_csv\UGC09133.csv,5.0
UGC09992,5,5.361927950765766,1.3404819876914416,5.8612725420262075,5.825193795179455,5.825193795179455,6.808494651622215,success,data\raw\sparc_csv\UGC09992.csv,5.0
