r_kpc,v_obs_kmps,v_err_kmps,v_baryon_kmps,v_model_kmps,a_newton,sigma_profile,beta_local,d_eff_local,cinfo_cap,a_struct,a_total
14.42,303.0,1.86,303.6741406507969,126.07827804525077,6395.144500693481,-821.7616985197362,106.02111533746472,2.5003608285706784,0.6737628890751448,-5292.805236140391,1102.3392645530903
15.63,298.0,1.34,290.55714033559735,107.40850912483694,5401.3724760076775,-753.3600502627271,109.30211303048428,2.522221066477603,0.6879077488972725,-4663.267048469598,738.1054275380793
16.83,296.0,1.41,277.6216351439491,133.83659239768323,4579.54677956031,-582.4568529861903,111.76159859613502,2.5462188046929404,0.7034356971542555,-3515.2429492202264,1064.3038303400836
18.03,294.0,1.15,268.66833233561414,160.95456607157033,4003.4760288408206,-438.40703698528216,113.52557862517081,2.5635131394053654,0.7146261490270012,-2566.627868037299,1436.8481608035218
19.23,294.0,0.59,260.44447200891017,166.89492900636054,3527.369890795632,-369.8600825831697,114.97309624225188,2.5708578783729874,0.7193786271825212,-2078.9082512720684,1448.4616395235635
20.43,294.0,0.5,252.30147779987337,169.94990017937508,3115.811830641214,-315.8899003078951,116.06855869404222,2.5708669283376704,0.719384483042022,-1702.0590860998748,1413.752744541339
21.64,292.0,1.21,244.65867652711603,173.03948090651787,2766.0752310536045,-268.05540821310274,116.75302965065879,2.572601150445541,0.7205066267588794,-1382.4032369502238,1383.6719941033807
22.84,290.0,1.21,237.50830111808727,174.43743494689113,2469.7982968476363,-230.61775607544115,117.13639639137219,2.5781422374541867,0.7240920359997678,-1137.5557963725541,1332.2425004750821
24.04,287.0,0.81,230.63114815653154,174.42346800641013,2212.592616472546,-200.67525278054586,117.37397293530177,2.58199208276786,0.7265831123792036,-947.0540893767397,1265.5385270958063
25.24,283.0,1.08,224.01251058813656,174.17002515001,1988.1776901743265,-173.8840973199399,117.55392126893975,2.584148203252251,0.7279782491632212,-786.3077353108116,1201.869954863515
26.44,279.0,1.87,217.86913388545887,174.3761905327649,1795.27078290469,-148.73416570978557,117.63881012767649,2.5849861953387276,0.7285204793368237,-645.2308500484448,1150.039932856245
27.65,276.0,1.55,212.2780933115803,174.2324478971373,1629.7283508137432,-127.8198032001309,117.57770971593905,2.584216890252961,0.7280226936930925,-531.8279565920916,1097.9003942216516
