galaxy,r_kpc,v_obs_kms,v_vis_kms,v_err_kms,h_kpc,source_path,Dw_i,sigma_i,beta_i,S_i,I_int_i,eta_obs_i,I_ext_i,DeltaD_i,eta_sigma_term_i,eta_dw_term_i,eta_density_term_i,eta_flow_term_i,eta_transition_term_i,propagation_source_i,propagation_term_i,segment_density_eff_msun_per_kpc3,segment_wedge_volume_eff_kpc3,segment_index,v_bar_kms,delta_v_i,C_i
NGC2403,3.29,101.0,103.60889247550135,3.4,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.2552271474419316,0.12755424466746673,0.1770060129611239,67181103.1935716,92010505.32032502,0.6679717601459215,60051758.73188252,0.3320282398540785,0.6998223541621567,0.38791468359373066,0.5067833122905194,0.5043622345122406,0.47810292104255936,0.19815719290767023,0.5887805239309823,2691467031.5091133,4.34968919018405,2,103.60889247550135,0.025830618569320292,0.008576494817913491
NGC2403,3.39,103.0,104.08061731177423,2.93,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.2471848184925114,0.12858530975898583,0.1703358586285575,63667544.485619634,90174588.95205313,0.6733441114203019,59268935.78305146,0.3266558885796981,0.7014754266251574,0.39548801578334347,0.5063249803789978,0.5040674889370892,0.4752705193014808,0.20171830749921413,0.6008651787231737,2601350991.305318,4.63315465030675,2,104.08061731177423,0.010491430211400322,0.003427087458176862
NGC2403,3.49,107.0,104.47720373363751,2.46,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.2391424895430916,0.12961637485050492,0.16366570429599106,60153985.77766767,88338672.58378126,0.6787164626946822,58486112.834220394,0.3212835373053177,0.7031284990881581,0.4030613479729563,0.5058666484674762,0.5037727433619379,0.47243811756040216,0.205279422090758,0.612949833515365,2511234951.1015224,4.9166201104294505,2,104.47720373363751,0.023577535199649446,0.007575073909884014
NGC2403,3.59,110.0,104.53593688296863,2.46,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.2311001605936713,0.130647439942024,0.15699554996342469,56640427.06971572,86502756.21550938,0.6840888139690626,57703289.88538934,0.3159111860309374,0.7047815715511588,0.41063468016256904,0.5054083165559546,0.5034779977867865,0.4696057158193236,0.2088405366823019,0.6250344883075564,2421118910.897728,5.200085570552148,3,104.53593688296863,0.049673301063921566,0.015692351453175286
NGC2403,3.69,112.0,104.8995328874252,3.4,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.2230578316442515,0.13167850503354311,0.15032539563085826,53126868.36176377,84666839.84723751,0.689461165243443,56920466.936558284,0.310538834756557,0.7064346440141596,0.41820801235218186,0.5049499846444331,0.5031832522116351,0.466773314078245,0.2124016512738458,0.6371191430997478,2331002870.6939325,5.483551030674849,3,104.8995328874252,0.06339702779084647,0.019687239137198526
NGC2403,3.79,114.0,104.90110819243047,5.1,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.2150155026948313,0.13270957012506218,0.14365524129829182,49613309.653811805,82830923.47896564,0.6948335165178233,56137643.987727225,0.3051664834821767,0.7080877164771603,0.4257813445417946,0.5044916527329115,0.5028885066364837,0.46394091233716644,0.21596276586538968,0.6492037978919392,2240886830.490137,5.767016490797548,3,104.90110819243047,0.07981484041727657,0.024356814179831397
NGC2403,3.9,118.0,104.635132245341,5.1,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.206168940850469,0.1338437417257332,0.1363180715324688,45748395.07506466,80811415.47386658,0.7007431029196417,55276538.744013056,0.2992568970803583,0.709906096186461,0.4341120099503687,0.5039874876302377,0.5025642865038171,0.46082527042198,0.21987999191608795,0.6624969181633497,2141759186.2659626,6.078828496932517,3,104.635132245341,0.11326159114117798,0.03389431232329312
NGC2403,3.99,118.0,104.30009108337345,4.85,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.198930844795991,0.13477170030810037,0.13031493263315902,42586192.23790789,79159090.74242188,0.705578219066584,54571998.0900651,0.2944217809334159,0.7113938614031617,0.44092800892102024,0.5035749889098683,0.5022990154861808,0.4582761088550093,0.22308499504847748,0.6733731074763218,2060654750.0825467,6.3339474110429475,3,104.30009108337345,0.11610092302225894,0.034182640524226905
NGC2403,4.47,118.0,102.76078288919368,5.36,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.160327665838775,0.13972081274739204,0.0982981918368403,25721110.439738512,70346692.17471689,0.7313655051836098,50814447.935676016,0.26863449481639023,0.7193286092255652,0.4772800034311616,0.5013749957345648,0.5008842367254542,0.4446805804978321,0.24017834508788813,0.7313794504788405,1628097757.10433,7.694581619631904,3,102.76078288919368,0.12914590771869763,0.03469304567761649
NGC2403,4.97,121.0,100.96553718967677,2.57,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.1329168017495337,0.13955018930152466,0.07540779258713033,14620491.13005829,62927915.479545474,0.7455925124668289,47012854.008009076,0.2544074875331711,0.7160115230494541,0.5020107216248069,0.4995076990507954,0.49913947602468933,0.43760928446361375,0.243993159379281,0.7642258639258882,1324441633.517174,9.517064494464949,3,100.96553718967677,0.1655740728125887,0.04212328386488503
NGC2403,5.47,124.0,98.87521479116998,0.22,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.124707108647082,0.13139064250046295,0.06820795195710345,13220633.16549737,58150346.50365597,0.7408673961170239,43380041.305074684,0.2591326038829761,0.6953207641366712,0.5070375256868239,0.4982769466777839,0.49698816608641266,0.44117405743615706,0.226821835671184,0.7557069866020726,1241171626.077748,11.94728073062731,3,98.87521479116998,0.2026192355550808,0.052505250106166176
NGC2403,5.96,125.0,96.16219059484865,0.88,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.116661609406679,0.12339428663542251,0.06115210813967713,11848772.360227667,53468328.90728426,0.7362367820942151,39819884.856198974,0.26376321790578494,0.6750438204021438,0.5119637936676006,0.49707080935223263,0.4948798823469015,0.4446675349492496,0.20999393843724895,0.7473584868247332,1159567018.7871106,14.328892642066426,3,96.16219059484865,0.23070247524121076,0.06085082724845143
NGC2403,6.46,126.0,93.44142550282504,0.45,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.1084519163042272,0.11523473983436083,0.05395226750965026,10448914.395666748,48690759.93139476,0.7315116657444101,36187072.15326458,0.2684883342555899,0.6543530614893609,0.5169905977296178,0.4958400569792211,0.49272857240862483,0.4482323079217929,0.19282261472915194,0.7388396095009175,1076297011.3476849,16.759108878228787,3,93.44142550282504,0.25840138489821396,0.069377757400659
NGC2403,6.96,126.0,91.23993971940139,0.55,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.1002422232017754,0.10707519303329914,0.04675242687962339,9049056.431105826,43913190.95550527,0.7267865493946052,32554259.450330183,0.27321345060539487,0.633662302576578,0.5220174017916348,0.4946093046062096,0.4905772624703481,0.4517970808943363,0.17565129102105495,0.7303207321771018,993027003.9082588,19.189325114391153,3,91.23993971940139,0.27587349429046515,0.07537234930566568
NGC2403,7.45,126.0,89.13484447734231,0.45,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.0921967239613726,0.09907883716825869,0.039696583062197054,7677195.625836125,39231173.35913355,0.7221559353717963,28994103.001454473,0.2778440646282037,0.6133853588420506,0.5269436697724115,0.4934031672806583,0.48846897873083694,0.45529055840742877,0.15882339378711988,0.7219722323997625,911422396.6176213,21.57093702583027,3,89.13484447734231,0.29258059938617215,0.0812917829648102
NGC2403,7.95,126.0,87.15783671018917,0.24,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.083987030858921,0.09091929036719701,0.032496742432170184,6277337.661275204,34453604.38324405,0.7174308190219914,25361290.298520077,0.2825691809780087,0.5926945999292677,0.5319704738344285,0.4921724149076468,0.4863176687925603,0.45885533137997214,0.1416520700790229,0.7134533550759469,828152389.1781954,24.001153261992627,4,87.15783671018917,0.30827113722072086,0.08710792276361842
NGC2403,8.45,127.0,85.51631891048632,1.45,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.075777337756469,0.08275974356613533,0.025296901802143328,4877479.696714288,29676035.407354563,0.7127057026721864,21728477.595585685,0.28729429732781364,0.5720038410164847,0.5369972778964456,0.4909416625346353,0.4841663588542836,0.46242010435251546,0.12448074637092593,0.7049344777521311,744882381.7387695,26.431369498154986,4,85.51631891048632,0.3266431581851471,0.09384271660773971
NGC2403,8.94,128.0,84.18389988590455,1.12,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.067731838516066,0.07476338770109488,0.018241057984716993,3505618.8914445844,24994017.810982846,0.7080750886493775,18168321.14670998,0.2919249113506225,0.5517268972819575,0.5419235458772224,0.48973552520908403,0.48205807511477244,0.46591358186560794,0.10765284913699086,0.6965859779747918,663277774.4481322,28.8129814095941,4,84.18389988590455,0.3423132821413707,0.09992977454326026
