galaxy,source_file,status,n_rows,has_nan,missing_columns,non_positive_r,non_positive_v_err,negative_v_obs,not_monotonic_r,duplicate_r_count,r_min,r_max,v_obs_min,v_obs_max,notes
UGC04278,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGC04278.csv,ok,25,False,,0,0,0,False,0,0.14,6.69,5.23,92.8,
UGC04305,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGC04305.csv,ok,22,False,,0,0,0,False,0,0.25,5.52,3.17,37.3,
UGC04325,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGC04325.csv,ok,8,False,,0,0,0,False,0,0.7,5.59,41.3,92.7,
UGC04483,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGC04483.csv,ok,8,False,,0,0,0,False,0,0.08,1.21,5.11,24.3,
UGC04499,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGC04499.csv,ok,9,False,,0,0,0,False,0,0.91,8.18,26.0,74.3,
UGC05005,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGC05005.csv,ok,11,False,,0,0,0,False,0,0.78,28.61,14.5,100.0,
UGC05253,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGC05253.csv,ok,73,False,,0,0,0,False,0,0.13,53.29,210.0,248.0,
UGC05414,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGC05414.csv,ok,6,False,,0,0,0,False,0,0.68,4.11,20.5,61.4,
UGC05716,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGC05716.csv,ok,12,False,,0,0,0,False,0,1.03,12.37,39.15,74.7,
UGC05721,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGC05721.csv,ok,23,False,,0,0,0,False,0,0.09,6.74,16.5,82.6,
UGC05750,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGC05750.csv,ok,11,False,,0,0,0,False,0,0.31,22.85,3.1,78.9,
UGC05764,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGC05764.csv,ok,10,False,,0,0,0,False,0,0.36,3.62,21.45,55.8,
UGC05829,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGC05829.csv,ok,11,False,,0,0,0,False,0,0.63,6.91,14.8,68.6,
UGC05918,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGC05918.csv,ok,8,False,,0,0,0,False,0,0.56,4.46,16.9,44.5,
UGC05986,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGC05986.csv,ok,15,False,,0,0,0,False,0,0.63,9.41,29.5,116.0,
UGC05999,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGC05999.csv,ok,5,False,,0,0,0,False,0,3.48,16.22,46.2,100.0,
UGC06399,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGC06399.csv,ok,9,False,,0,0,0,False,0,0.87,7.85,24.8,87.6,
UGC06446,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGC06446.csv,ok,17,False,,0,0,0,False,0,0.58,10.22,31.3,84.9,
UGC06614,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGC06614.csv,ok,13,False,,0,0,0,False,0,3.23,64.59,170.0,205.0,
UGC06628,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGC06628.csv,ok,7,False,,0,0,0,False,0,1.1,7.69,26.9,42.3,
UGC06667,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGC06667.csv,ok,9,False,,0,0,0,False,0,0.87,7.85,26.6,85.7,
UGC06786,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGC06786.csv,ok,45,False,,0,0,0,False,0,0.16,34.05,160.0,229.0,
UGC06787,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGC06787.csv,ok,71,False,,0,0,0,False,0,0.12,37.19,134.0,276.0,
UGC06818,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGC06818.csv,ok,8,False,,0,0,0,False,0,0.87,6.98,23.4,74.4,
UGC06917,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGC06917.csv,ok,11,False,,0,0,0,False,0,1.74,10.47,59.2,111.0,
UGC06923,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGC06923.csv,ok,6,False,,0,0,0,False,0,0.93,5.16,40.5,81.1,
UGC06930,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGC06930.csv,ok,10,False,,0,0,0,False,0,1.74,16.61,54.7,109.0,
UGC06973,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGC06973.csv,ok,9,False,,0,0,0,False,0,1.74,7.85,170.0,180.0,
UGC06983,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGC06983.csv,ok,17,False,,0,0,0,False,0,1.74,15.68,56.9,113.0,
UGC07089,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGC07089.csv,ok,12,False,,0,0,0,False,0,0.87,9.16,20.9,79.1,
UGC07125,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGC07125.csv,ok,13,False,,0,0,0,False,0,1.44,18.68,26.1,65.6,
