galaxy_id,filename,filepath,catalog_prefix,catalog_number,name_normalized,row_count,source_expected
UGC03546,UGC03546.csv,data/derived/sparc/UGC03546.csv,UGC,03546,UGC03546,30,SPARC
UGC03580,UGC03580.csv,data/derived/sparc/UGC03580.csv,UGC,03580,UGC03580,47,SPARC
UGC04278,UGC04278.csv,data/derived/sparc/UGC04278.csv,UGC,04278,UGC04278,25,SPARC
UGC04305,UGC04305.csv,data/derived/sparc/UGC04305.csv,UGC,04305,UGC04305,22,SPARC
UGC04325,UGC04325.csv,data/derived/sparc/UGC04325.csv,UGC,04325,UGC04325,8,SPARC
UGC04483,UGC04483.csv,data/derived/sparc/UGC04483.csv,UGC,04483,UGC04483,8,SPARC
UGC04499,UGC04499.csv,data/derived/sparc/UGC04499.csv,UGC,04499,UGC04499,9,SPARC
UGC05005,UGC05005.csv,data/derived/sparc/UGC05005.csv,UGC,05005,UGC05005,11,SPARC
UGC05253,UGC05253.csv,data/derived/sparc/UGC05253.csv,UGC,05253,UGC05253,73,SPARC
UGC05414,UGC05414.csv,data/derived/sparc/UGC05414.csv,UGC,05414,UGC05414,6,SPARC
UGC05716,UGC05716.csv,data/derived/sparc/UGC05716.csv,UGC,05716,UGC05716,12,SPARC
UGC05721,UGC05721.csv,data/derived/sparc/UGC05721.csv,UGC,05721,UGC05721,23,SPARC
UGC05750,UGC05750.csv,data/derived/sparc/UGC05750.csv,UGC,05750,UGC05750,11,SPARC
UGC05764,UGC05764.csv,data/derived/sparc/UGC05764.csv,UGC,05764,UGC05764,10,SPARC
UGC05829,UGC05829.csv,data/derived/sparc/UGC05829.csv,UGC,05829,UGC05829,11,SPARC
UGC05918,UGC05918.csv,data/derived/sparc/UGC05918.csv,UGC,05918,UGC05918,8,SPARC
UGC05986,UGC05986.csv,data/derived/sparc/UGC05986.csv,UGC,05986,UGC05986,15,SPARC
UGC05999,UGC05999.csv,data/derived/sparc/UGC05999.csv,UGC,05999,UGC05999,5,SPARC
UGC06399,UGC06399.csv,data/derived/sparc/UGC06399.csv,UGC,06399,UGC06399,9,SPARC
UGC06446,UGC06446.csv,data/derived/sparc/UGC06446.csv,UGC,06446,UGC06446,17,SPARC
UGC06614,UGC06614.csv,data/derived/sparc/UGC06614.csv,UGC,06614,UGC06614,13,SPARC
UGC06628,UGC06628.csv,data/derived/sparc/UGC06628.csv,UGC,06628,UGC06628,7,SPARC
UGC06667,UGC06667.csv,data/derived/sparc/UGC06667.csv,UGC,06667,UGC06667,9,SPARC
UGC06786,UGC06786.csv,data/derived/sparc/UGC06786.csv,UGC,06786,UGC06786,45,SPARC
UGC06787,UGC06787.csv,data/derived/sparc/UGC06787.csv,UGC,06787,UGC06787,71,SPARC
UGC06818,UGC06818.csv,data/derived/sparc/UGC06818.csv,UGC,06818,UGC06818,8,SPARC
UGC06917,UGC06917.csv,data/derived/sparc/UGC06917.csv,UGC,06917,UGC06917,11,SPARC
UGC06923,UGC06923.csv,data/derived/sparc/UGC06923.csv,UGC,06923,UGC06923,6,SPARC
UGC06930,UGC06930.csv,data/derived/sparc/UGC06930.csv,UGC,06930,UGC06930,10,SPARC
UGC06973,UGC06973.csv,data/derived/sparc/UGC06973.csv,UGC,06973,UGC06973,9,SPARC
UGC06983,UGC06983.csv,data/derived/sparc/UGC06983.csv,UGC,06983,UGC06983,17,SPARC
